ID,SEXO,EDAD,GRADO_INSTRUCCION,TIPO_CARGO,EXPERIENCIA,GERENCIA,CREDIBILIDAD,RESPETO,IMPARCIALIDAD,ORGULLO,CAMARADERIA,GENERAL,TARGET,SCORE_SENTIMENT
83,Masculino,1.0,0.0,0.0,1.0,Alimentos y Bebidas,3.34375,3.133333333,2.916666667,3.111111111,3.8,4.0,DETRACTOR,0.2182
85,Masculino,2.0,5.0,4.0,2.0,Alimentos y Bebidas,3.96875,3.833333333,3.291666667,3.888888889,4.5,5.0,PROMOTOR,0.8975
88,Masculino,3.0,1.0,0.0,3.0,Alimentos y Bebidas,3.6875,2.4666666669999997,1.9166666669999999,3.222222222,2.45,2.0,DETRACTOR,0.0655
93,Masculino,3.0,1.0,1.0,3.0,Alimentos y Bebidas,2.875,2.733333333,3.041666667,3.0,3.6,3.0,DETRACTOR,0.204
95,Masculino,3.0,2.0,4.0,3.0,Alimentos y Bebidas,3.3125,2.866666667,3.041666667,3.333333333,3.2,3.0,DETRACTOR,0.6499
98,Masculino,1.0,3.0,4.0,1.0,Alimentos y Bebidas,4.125,4.133333333,3.458333333,4.3888888889999995,4.4,5.0,PROMOTOR,0.5272
99,Masculino,3.0,5.0,4.0,2.0,Alimentos y Bebidas,3.875,3.933333333,4.166666667,4.8888888889999995,4.45,5.0,PROMOTOR,0.6925
100,Femenino,2.0,2.0,4.0,3.0,Alimentos y Bebidas,4.46875,4.3,4.375,4.0,4.55,4.0,PROMOTOR,0.719
101,Masculino,1.0,2.0,4.0,1.0,Alimentos y Bebidas,4.21875,4.366666667,4.708333333,4.722222222,4.8,5.0,PROMOTOR,0.5609
103,Masculino,3.0,1.0,4.0,3.0,Alimentos y Bebidas,4.625,4.733333333,3.833333333,4.777777778,4.9,5.0,PROMOTOR,0.2875
104,Femenino,2.0,2.0,4.0,2.0,Alimentos y Bebidas,3.6875,3.4,3.041666667,3.722222222,3.45,3.5,DETRACTOR,0.2955
109,Masculino,1.0,1.0,1.0,2.0,Alimentos y Bebidas,3.0625,3.133333333,1.875,3.222222222,3.15,3.0,DETRACTOR,0.0635
111,Masculino,2.0,4.0,1.0,3.0,Alimentos y Bebidas,2.90625,2.666666667,2.666666667,3.222222222,2.85,2.0,DETRACTOR,0.1558
115,Masculino,1.0,1.0,1.0,1.0,Alimentos y Bebidas,3.3125,2.9666666669999997,2.833333333,4.0,3.75,3.5,DETRACTOR,0.5595
118,Masculino,1.0,2.0,1.0,1.0,Alimentos y Bebidas,2.53125,2.7,2.208333333,2.555555556,2.8,3.5,DETRACTOR,0.5166
119,Masculino,1.0,2.0,1.0,1.0,Alimentos y Bebidas,3.71875,3.666666667,3.375,3.777777778,3.35,3.0,DETRACTOR,0.0836
121,Masculino,1.0,2.0,1.0,1.0,Alimentos y Bebidas,3.4375,3.233333333,3.125,3.333333333,3.25,3.0,DETRACTOR,0.0731
124,Masculino,1.0,3.0,1.0,2.0,Alimentos y Bebidas,2.625,2.866666667,2.458333333,3.333333333,2.7,3.5,DETRACTOR,0.1328
128,Masculino,0.0,0.0,4.0,1.0,Alimentos y Bebidas,3.71875,4.033333333,3.791666667,3.666666667,3.6,5.0,PROMOTOR,0.9076
129,Masculino,2.0,2.0,0.0,0.0,Alimentos y Bebidas,4.6875,4.766666667,4.791666667,4.944444444,4.9,5.0,PROMOTOR,0.0563
132,Masculino,3.0,1.0,0.0,1.0,Alimentos y Bebidas,3.78125,4.333333333,3.791666667,4.555555556,4.6,5.0,PROMOTOR,0.6935
134,Masculino,1.0,2.0,0.0,2.0,Alimentos y Bebidas,3.34375,3.133333333,2.916666667,3.222222222,3.45,3.5,DETRACTOR,0.1761
